STARLINK-4711           
Time(t),Position x(r_x),y(r_y),z(r_z),Velocity x(v_x),y(v_y),z(v_z)
2459905.5806361916,2208.418475784325,6432.198665825035,-357.88001157683794,-4.440544874106644,1.1919114689192032,-6.118366481722063
2459905.5813313313,1936.8917200331935,6489.076989626387,-724.2503013117448,-4.597907765894797,0.7014033991598609,-6.077172357218132
2459905.582026471,1656.5407111986979,6516.3921495440345,-1087.3118235956665,-4.734284613386704,0.20782997280360607,-6.00822745240472
2459905.5827216106,1368.6447898638376,6514.028000252557,-1445.4072098177112,-4.849062117711334,-0.28654506269644175,-5.911864103579749
2459905.58341675,1074.5171084066824,6482.004424699483,-1796.9028752148342,-4.941727975861304,-0.7794575232883255,-5.788541594874157
2459905.58411189,775.4984991601307,6420.477031561925,-2140.1965659115344,-5.011872978554918,-1.268653704572558,-5.638843473371522
2459905.5848070295,472.9512338344451,6329.736201593026,-2473.7247253842593,-5.059192536180827,-1.7519011350160618,-5.463474224696234
2459905.5855021686,168.2529130059156,6210.205584398539,-2795.9694313190344,-5.083487627560725,-2.22699878016971,-5.263255489881723
2459905.5861973083,-137.21070753329124,6062.439542785309,-3105.466147605518,-5.084665247916765,-2.691788530885098,-5.039121029419202
2459905.586892448,-442.05085375751787,5887.120814372317,-3400.809038877722,-5.062738166008074,-3.1441631553168574,-4.792112536589695
2459905.5875875875,-744.8828879595095,5685.0568103939295,-3680.6581400421583,-5.017824336849666,-3.582077036152703,-4.523373665149805
2459905.588282727,-1044.3323884208883,5457.175731652535,-3943.745093845313,-4.950145711903208,-4.003554857981082,-4.234144295596273
2459905.588977867,-1339.0413483232285,5204.522087270226,-4188.878745327052,-4.860026603636731,-4.406700134266792,-3.925754319343063
2459905.5896730064,-1627.6742630605943,4928.251716464739,-4414.950353451,-4.7478916110163825,-4.789703227911459,-3.5996171172134632
2459905.590368146,-1908.9240805433853,4629.626344337887,-4620.938402998204,-4.614263137783468,-5.1508488486580015,-3.257222780479546
2459905.5910632857,-2181.5179910067422,4310.007703447014,-4805.913002624417,-4.459758535644822,-5.488523017998422,-2.900131119451917
2459905.591758425,-2444.222862346576,3970.8514866900905,-4969.039755790978,-4.28508702741689,-5.801219297987595,-2.529964752590478
2459905.5924535645,-2695.851343473077,3613.699774751783,-5109.583721492146,-4.091045711171772,-6.0875455094475805,-2.148400807753592
2459905.593148704,-2935.2659933791037,3240.175412202486,-5226.911854480647,-3.8785164628062017,-6.3462278449746234,-1.7571650102208412
2459905.593843844,-3161.3849425837034,2851.9738151721776,-5320.496107283755,-3.648461419283605,-6.576116580058495,-1.3580232197081354
2459905.5945389834,-3373.186412419866,2450.8556204856354,-5389.915512308843,-3.4019187874360566,-6.776190206079939,-0.9527741399815892
2459905.595234123,-3569.7131486861617,2038.6388676769,-5434.857927000004,-3.1399983204865545,-6.945559288696924,-0.5432417461104523
2459905.5959292627,-3750.076577363522,1617.1909639320725,-5455.121323497807,-2.8638765870370184,-7.083469844412866,-0.13126768614130807
